"","city","tmpd","dptp","date","pm25tmean2","pm10tmean2","o3tmean2","no2tmean2"
"66","chic",59.5,36.875,1987-03-07,NA,49,25.416666667,41.743055556
"67","chic",54.5,33.625,1987-03-08,NA,61,31.166666667,39.045138889
"68","chic",31,14,1987-03-09,NA,25,29.833333333,12.469381313
"69","chic",25.5,13.625,1987-03-10,NA,19.571428571,28.375,19.747163358
"70","chic",28.5,17,1987-03-11,NA,38,19.770833333,29.906099034
"71","chic",33.5,22.375,1987-03-12,NA,72,20.4375,41.127525253
"72","chic",34,33.125,1987-03-13,NA,47,22.479166667,31.555555556
"73","chic",37,33,1987-03-14,NA,49,17.729166667,27.652777778
"74","chic",35,24.5,1987-03-15,NA,NA,36.895833333,18.034722222
"75","chic",37.5,17.875,1987-03-16,NA,27,36.372282609,22.423611111
"76","chic",38.5,19.375,1987-03-17,NA,55,27.8125,25.986111111
"77","chic",39.5,30.25,1987-03-18,NA,63,18.666666667,32.207799145
"78","chic",41.5,26.125,1987-03-19,NA,32,31.675595238,33.296014493
"79","chic",43,16.625,1987-03-20,NA,28,36.625,45.958333333
"80","chic",43.5,22.5,1987-03-21,NA,40,38.208333333,43.90307971
"81","chic",48,32.375,1987-03-22,NA,37.857142857,37.666666667,36.239583333
"82","chic",53.5,35.25,1987-03-23,NA,70,31.454166667,33.738647343
"83","chic",57.5,46.125,1987-03-24,NA,58,25.625,30.555555556
"84","chic",45,40.125,1987-03-25,NA,14,14.875,23.204545455
"85","chic",45,40.25,1987-03-26,NA,43,15.117424242,23.493686869
"86","chic",43,38.5,1987-03-27,NA,47,16.4375,32.315025253
"87","chic",46,35,1987-03-28,NA,34.5,20.104166667,31.180555556
"88","chic",39.5,30.125,1987-03-29,NA,37,20.972222222,22.340277778
"89","chic",29,12.875,1987-03-30,NA,27,30.4375,19.655676329
"90","chic",30,19,1987-03-31,NA,43,24.044871795,24.611111111
"91","chic",41.5,22.875,1987-04-01,NA,36,21.453125,19.298611111
"92","chic",29.5,14.625,1987-04-02,NA,44,22.566349638,22.036533816
"93","chic",28,17.375,1987-04-03,NA,22.428571429,16.869791667,35.481432597
"94","chic",35.5,17.125,1987-04-04,NA,26,28.390625,21.28125
"95","chic",43.5,33,1987-04-05,NA,18,36.03125,12.190972222
"96","chic",50,21.25,1987-04-06,NA,19,31.802083333,19.855744949
"97","chic",49.5,30.875,1987-04-07,NA,28,25.494791667,28.246212121
"98","chic",40,31.375,1987-04-08,NA,19,21.010416667,28.991243961
"99","chic",50,28.5,1987-04-09,NA,78.285714286,15.401041667,57.525422705
"100","chic",59.5,44.875,1987-04-10,NA,69,21.859375,39.354166667
"101","chic",51,45.625,1987-04-11,NA,24,28.973958333,23.145833333
"102","chic",49.5,43.125,1987-04-12,NA,37,25.678571429,26.020833333
"103","chic",48,47.25,1987-04-13,NA,47,17.767857143,37.932449495
"104","chic",52.5,51.5,1987-04-14,NA,33,13.244047619,35.722222222
"105","chic",51.5,50.125,1987-04-15,NA,30,17.142857143,32.020064778
"106","chic",54,49.25,1987-04-16,NA,28,22.107142857,30.75
"107","chic",57.5,47,1987-04-17,NA,43,19.30952381,44.208333333
"108","chic",61.5,49.875,1987-04-18,NA,106,31.529761905,55.416666667
"109","chic",64,53,1987-04-19,NA,NA,32.839285714,45.159722222
"110","chic",71,55.75,1987-04-20,NA,55,41.390625,40.534722222
"111","chic",56,39,1987-04-21,NA,36.2,20.46875,19.177838164
"112","chic",47,45.625,1987-04-22,NA,28,9.078125,23.234217172
"113","chic",52,43.75,1987-04-23,NA,26,10.094655797,23.493055556
"114","chic",49,30.75,1987-04-24,NA,16,27.572916667,20.661156401
"115","chic",51,32.5,1987-04-25,NA,30,28.0625,27.766666667
"116","chic",57,33.875,1987-04-26,NA,58,33.145833333,33.458333333
"117","chic",56.5,31.625,1987-04-27,NA,37.333333333,35.927604167,27.052083333
"118","chic",53.5,28.625,1987-04-28,NA,72,22.645833333,32.036533816
"119","chic",64.5,34.625,1987-04-29,NA,61,34.852272727,24.106060606
"120","chic",46,16.625,1987-04-30,NA,19,35.489583333,18.320571789
"121","chic",53.5,39,1987-05-01,NA,66,19.561594203,45.944444444
"122","chic",53,47.375,1987-05-02,NA,30,24.18452381,31.508333333
"123","chic",45,35,1987-05-03,NA,20.285714286,27.202380952,22.116666667
"124","chic",48,29.375,1987-05-04,NA,26,31.224358974,23.026175214
"125","chic",50.5,32.625,1987-05-05,NA,60,23.4375,39.609217172
"126","chic",58,40.125,1987-05-06,NA,NA,32.370573946,51.285353535
"127","chic",59.5,40.875,1987-05-07,NA,41,30.189311594,29.518280632
"128","chic",59,33.375,1987-05-08,NA,54,16.804824561,38.774122807
"129","chic",69.5,43.75,1987-05-09,NA,56.166666667,42.796875,22.152777778
"130","chic",74.5,51.5,1987-05-10,NA,NA,43.0125,20.173611111
"131","chic",71,58,1987-05-11,NA,81,44.98627451,24.222222222
"132","chic",51.5,32.75,1987-05-12,NA,12,25.338541667,18.017676768
"133","chic",59,53,1987-05-13,NA,20,26.559103261,35.523358586
"134","chic",69,53.375,1987-05-14,NA,NA,38.848958333,29.545138889
"135","chic",56.5,33.875,1987-05-15,NA,21.571428571,24.020833333,19.023358586
"136","chic",62.5,42.625,1987-05-16,NA,47,31.67553593,28.1772343
"137","chic",70.5,63.625,1987-05-17,NA,63,50.448143116,22.879528986
"138","chic",66.5,57.625,1987-05-18,NA,NA,24.833673007,27.201388889
"139","chic",67.5,61.125,1987-05-19,NA,42,26.072172619,28.051771598
"140","chic",66.5,59.75,1987-05-20,NA,47,15.274728261,21.791982323
"141","chic",74,66.75,1987-05-21,NA,46.166666667,33.251811594,26.697916667
"142","chic",61.5,49.75,1987-05-22,NA,NA,12.320652174,12.742149758
"143","chic",51,45.625,1987-05-23,NA,13,10.578125,11.714015152
"144","chic",50.5,45.125,1987-05-24,NA,NA,18.984375,11.673611111
"145","chic",57.5,62.875,1987-05-25,NA,50,13.008928571,19.256944444
"146","chic",73,67.625,1987-05-26,NA,28,29.871212121,26.819444444
"147","chic",78.5,67.375,1987-05-27,NA,40.6,30.546875,25.158102767
"148","chic",78.5,65.75,1987-05-28,NA,49,28.912228261,32.130434783
"149","chic",78.5,67.125,1987-05-29,NA,50,26.130208333,36.056168831
"150","chic",76,65.625,1987-05-30,NA,35,21.859375,33.566666667
"151","chic",76,60.125,1987-05-31,NA,32,31.443452381,22.208333333
"152","chic",74.5,68.5,1987-06-01,NA,30,34.1875,28.341666667
"153","chic",72,64.75,1987-06-02,NA,33.666666667,18.338541667,37.35
"154","chic",69,47.25,1987-06-03,NA,42,23.313360507,21.743055556
"155","chic",63,45,1987-06-04,NA,45,20.427227437,25.611111111
"156","chic",70,54.875,1987-06-05,NA,61,33.192708333,35.627525253
"157","chic",71,54.625,1987-06-06,NA,57,43.744791667,34.167929293
"158","chic",77.5,58.125,1987-06-07,NA,46,50.791666667,15.739583333
"159","chic",74.5,60.25,1987-06-08,NA,51.5,49.212182971,23.107638889
"160","chic",57.5,41.125,1987-06-09,NA,15,29.611186594,15.299305556
"161","chic",61,51,1987-06-10,NA,50,28.733016304,29.298611111
"162","chic",72.5,68.75,1987-06-11,NA,46,27.746117424,32.455176768
"163","chic",80,62,1987-06-12,NA,41,29.290769104,24.245896465
"164","chic",77,62,1987-06-13,NA,73,39.651041667,35.425
"165","chic",83,68.5,1987-06-14,NA,43.666666667,45.421875,25.995833333
"166","chic",73.5,48.5,1987-06-15,NA,28,33.754076087,22.205917874
"167","chic",75,52.875,1987-06-16,NA,46,33.201388889,30.632638889
"168","chic",77,61,1987-06-17,NA,71,54.961891822,47.925422705
"169","chic",80.5,62.75,1987-06-18,NA,90,62.969655797,43.816666667
"170","chic",77.5,61.375,1987-06-19,NA,80,47.268914474,51.175
"171","chic",77,73.625,1987-06-20,NA,59.833333333,45.697916667,32.875
"172","chic",76,71.125,1987-06-21,NA,42,32.77827381,20.381944444
"173","chic",67,59,1987-06-22,NA,52,25.053934889,25.232434641
"174","chic",72.5,57.75,1987-06-23,NA,49,32.218452381,39.979166667
"175","chic",76,65.75,1987-06-24,NA,63,49.080208333,42.871221532
"176","chic",70.5,62,1987-06-25,NA,53,33.878658027,29.284905915
"177","chic",69,50.75,1987-06-26,NA,31.8,20.46875,20.697916667
"178","chic",64.5,48.25,1987-06-27,NA,36,21.619791667,15.802083333
"179","chic",72,53.625,1987-06-28,NA,34,31.963768116,15.935326087
"180","chic",72.5,66,1987-06-29,NA,43,27.78125,24.575
"181","chic",70.5,63,1987-06-30,NA,43,18.46875,28.152777778
"182","chic",68.5,60.625,1987-07-01,NA,22,32.296875,20.018578644
"183","chic",71,60.25,1987-07-02,NA,45.5,36.267045455,27.24611244
"184","chic",77.5,60.375,1987-07-03,NA,48,42.916666667,18.784722222
"185","chic",72.5,59.5,1987-07-04,NA,24,31.895833333,13.871527778
"186","chic",72.5,69.125,1987-07-05,NA,NA,22.630208333,16.260416667
"187","chic",80,69,1987-07-06,NA,33,31.111842105,22.660220627
"188","chic",80,69.125,1987-07-07,NA,NA,34.342617754,23.083333333
"189","chic",80.5,69.25,1987-07-08,NA,38,30.851675725,23.014794686
"190","chic",80.5,67.625,1987-07-09,NA,31,24.947916667,20.157828283
"191","chic",80,67.625,1987-07-10,NA,33,23.380208333,21.625
"192","chic",80,73.5,1987-07-11,NA,79,29.125,16.548611111
"193","chic",79.5,65.5,1987-07-12,NA,47,29.640625,13.017361111
"194","chic",64.5,58.75,1987-07-13,NA,33,9.6912202381,18.666666667
"195","chic",67,53,1987-07-14,NA,21.4,21.863839286,20.5625
"196","chic",63,54.375,1987-07-15,NA,17,23.182291667,20.879103535
"197","chic",65.5,58.625,1987-07-16,NA,28,31.520833333,19.961422258
"198","chic",78,67,1987-07-17,NA,39,42.872767857,25.000992063
"199","chic",79.5,68.375,1987-07-18,NA,51,47.791666667,19.190972222
"200","chic",84.5,73.625,1987-07-19,NA,72,47.052083333,13.371527778
"201","chic",81.5,67.625,1987-07-20,NA,65.428571429,40.498958333,18.458333333
"202","chic",81,71.25,1987-07-21,NA,58,58.167912138,36.628010697
"203","chic",80.5,69.625,1987-07-22,NA,98,45.282738095,36.354166667
"204","chic",82,70,1987-07-23,NA,117,59.15625,25.981060606
"205","chic",83,71.25,1987-07-24,NA,79,35.690217391,23.213224638
"206","chic",84.5,71.125,1987-07-25,NA,53,43.81547619,22.654166667
"207","chic",78.5,66.25,1987-07-26,NA,29.5,27.773809524,20.004166667
"208","chic",71,62.625,1987-07-27,NA,32,15.773809524,30.754166667
"209","chic",72.5,63.25,1987-07-28,NA,37,20.267857143,29.615909091
"210","chic",78,70.25,1987-07-29,NA,25,25.029011605,33.510714286
"211","chic",79.5,72.375,1987-07-30,NA,75,50.369047619,27.391666667
"212","chic",80.5,75.75,1987-07-31,NA,48,38.417184265,28.429498792
"213","chic",87,75.25,1987-08-01,NA,57.571428571,40.232142857,21.694444444
"214","chic",86,73.875,1987-08-02,NA,46,46.654761905,15.486111111
"215","chic",83,68.625,1987-08-03,NA,54,30.9745671,29.805555556
"216","chic",75,60.625,1987-08-04,NA,21,20.549278846,14.288194444
"217","chic",72,55.75,1987-08-05,NA,15,20.291666667,12.784722222
"218","chic",72,62.125,1987-08-06,NA,50,29.57664462,32.699206349
"219","chic",79.5,67.375,1987-08-07,NA,51.285714286,45.322916667,27.652777778
"220","chic",73.5,73.625,1987-08-08,NA,56,23.03125,24.600694444
"221","chic",72.5,64.125,1987-08-09,NA,29,26.755208333,10.305555556
"222","chic",71,63.125,1987-08-10,NA,24,29.410714286,20.023809524
"223","chic",74.5,61.875,1987-08-11,NA,41,33.84375,25.666666667
"224","chic",76,63.625,1987-08-12,NA,80,37.088541667,33.645833333
"225","chic",75.5,69.5,1987-08-13,NA,63.4,36.197916667,36.48218599
"226","chic",74,74.625,1987-08-14,NA,49.5,24.232843137,18.595734127
"227","chic",79.5,75.875,1987-08-15,NA,41,33.375,13.159269324
"228","chic",80,73.875,1987-08-16,NA,44.5,32.272959184,9.3382936508
"229","chic",73.5,60.25,1987-08-17,NA,39,26.676339286,14.927083333
"230","chic",69.5,64.25,1987-08-18,NA,48,14.058779762,31.393719807
"231","chic",70,56.75,1987-08-19,NA,31.666666667,18.388888889,23.345643939
"232","chic",70,62.625,1987-08-20,NA,49,30.51875,26.729166667
"233","chic",76,72.5,1987-08-21,NA,43,37.942708333,20.905934343
"234","chic",71.5,54.625,1987-08-22,NA,32,23.864583333,12.909722222
"235","chic",63,49,1987-08-23,NA,24,17.727807971,14.427777778
"236","chic",61.5,51.375,1987-08-24,NA,43,12.594983553,21.585416667
"237","chic",59,58,1987-08-25,NA,36,6.665625,30.631944444
"238","chic",62,63.25,1987-08-26,NA,50,8.207521645,22.983333333
"239","chic",63.5,61.375,1987-08-27,NA,20,13.71875,19.690025253
"240","chic",63.5,54.625,1987-08-28,NA,32,21.942708333,22.045833333
"241","chic",65.5,57,1987-08-29,NA,NA,18.15625,26.399305556
"242","chic",72,59.625,1987-08-30,NA,35,22.622735507,16.85940931
"243","chic",62,46.5,1987-08-31,NA,25,15.921875,18.118292788
"244","chic",64,49.5,1987-09-01,NA,38.5,17.932291667,22.520833333
"245","chic",61.5,50.125,1987-09-02,NA,17,21.161458333,15.746527778
"246","chic",60.5,49.25,1987-09-03,NA,24,20.302083333,22.481064527
"247","chic",69,59.125,1987-09-04,NA,NA,31.338541667,37.317234848
"248","chic",73,57.375,1987-09-05,NA,NA,46.057291667,36.465277778
"249","chic",75,66.25,1987-09-06,NA,60.666666667,38.197916667,32.510416667
"250","chic",70.5,65.625,1987-09-07,NA,NA,22.786911232,21.3125
"251","chic",72,63.5,1987-09-08,NA,NA,25.401041667,31.868055556
"252","chic",68.5,56.125,1987-09-09,NA,NA,18.833333333,22.885416667
"253","chic",67.5,57.75,1987-09-10,NA,NA,26.505208333,27.686896135
"254","chic",69,57,1987-09-11,NA,NA,22.440217391,31.030797101
"255","chic",68,50.375,1987-09-12,NA,33.5,15.8125,23.503472222
"256","chic",59,53.25,1987-09-13,NA,NA,12.359375,21.166666667
"257","chic",61.5,58,1987-09-14,NA,NA,18.895833333,27.961805556
"258","chic",72,66,1987-09-15,NA,NA,15.434782609,28.386171498
"259","chic",69,66.875,1987-09-16,NA,33,10.204710145,25.618055556
"260","chic",67.5,64.25,1987-09-17,NA,30,13.523809524,18.876262626
"261","chic",63.5,60.375,1987-09-18,NA,25.25,6.8928571429,17.644886364
"262","chic",61,50.25,1987-09-19,NA,NA,12.642857143,16.395833333
"263","chic",57,50.875,1987-09-20,NA,NA,7.4047619048,11.820833333
"264","chic",55.5,54.75,1987-09-21,NA,29,4.9523809524,16.641666667
"265","chic",61,52.5,1987-09-22,NA,NA,7.2639751553,15.906812692
"266","chic",63,51,1987-09-23,NA,38,13.136904762,20.427083333
"267","chic",59.5,46.25,1987-09-24,NA,23,16.130952381,16.267361111
"268","chic",56.5,43,1987-09-25,NA,55,14.017857143,30.210144928
"269","chic",65,53.375,1987-09-26,NA,42,22.494047619,35.895833333
"270","chic",75.5,54,1987-09-27,NA,49,27.547619048,30.091666667
"271","chic",69,61.125,1987-09-28,NA,57,30.017857143,33.758333333
"272","chic",61.5,52.375,1987-09-29,NA,34,12.732142857,16.118452381
"273","chic",55,35.625,1987-09-30,NA,26.8,10.909722222,18.558333333
"274","chic",55.5,46.375,1987-10-01,NA,44,17.303571429,20.9625
"275","chic",47,32.25,1987-10-02,NA,52,15.02820911,9.9668478261
"276","chic",42.5,29.875,1987-10-03,NA,52,15.392857143,19.545833333
"277","chic",52,30.75,1987-10-04,NA,50,19.148809524,19.566666667
"278","chic",60,41.25,1987-10-05,NA,48,14.813095238,18.313333333
"279","chic",45.5,38,1987-10-06,NA,24.166666667,6.9729437229,9.2583333333
"280","chic",39.5,26.875,1987-10-07,NA,36,13.31547619,13.863586957
"281","chic",41.5,26.875,1987-10-08,NA,41,10.518115942,27.595833333
"282","chic",53.5,31.25,1987-10-09,NA,38,11.563664596,19.609027778
"283","chic",42.5,32.625,1987-10-10,NA,28,8.7380952381,21.152777778
"284","chic",39,25.5,1987-10-11,NA,32,14.633333333,23.298611111
"285","chic",42.5,30.375,1987-10-12,NA,41.5,12.41468254,39.048611111
"286","chic",49.5,33.375,1987-10-13,NA,NA,15.115609287,40.270652174
"287","chic",55.5,38.125,1987-10-14,NA,41,10.79859335,40.230676329
"288","chic",63,36,1987-10-15,NA,52,24.447593168,43.208333333
"289","chic",62.5,55.125,1987-10-16,NA,58,28.56547619,35.803571429
"290","chic",48,42.125,1987-10-17,NA,19,9.2202380952,11.263888889
"291","chic",53.5,43.75,1987-10-18,NA,26.857142857,15.970238095,23.086805556
"292","chic",49.5,40.25,1987-10-19,NA,11,18.869047619,22.225694444
"293","chic",45.5,32.375,1987-10-20,NA,24,15.281099034,17.855654762
"294","chic",37,33.25,1987-10-21,NA,20.5,6.4679487179,14.982638889
"295","chic",43,34.25,1987-10-22,NA,25,6.7532467532,23.254227053
"296","chic",39,31.125,1987-10-23,NA,50,8.3148809524,25.238636364
"297","chic",38.5,33.5,1987-10-24,NA,28.4,7.5357142857,23.8125
"298","chic",42,31.125,1987-10-25,NA,NA,11.125,23.892361111
"299","chic",44.5,45.375,1987-10-26,NA,33,5.0714285714,27.041666667
"300","chic",44.5,34.5,1987-10-27,NA,31,10.175724638,19.588068182
"301","chic",38.5,28.875,1987-10-28,NA,31,5.0713364293,24.832054094
"302","chic",44.5,37.75,1987-10-29,NA,48,7.2569444444,33.360205314
"303","chic",54.5,42.875,1987-10-30,NA,50.666666667,16.93452381,31.461805556
"304","chic",52,49.375,1987-10-31,NA,60,12.571428571,22.510416667
"305","chic",58,58.5,1987-11-01,NA,30,9.7445652174,30.340277778
"306","chic",64,56.625,1987-11-02,NA,46,11.550865801,35.236111111
"307","chic",66,49.875,1987-11-03,NA,NA,29.458333333,32.503787879
"308","chic",56.5,38.25,1987-11-04,NA,47,19.166666667,19.04160401
"309","chic",40.5,19.875,1987-11-05,NA,25.5,20.166666667,19.131439394
"310","chic",39.5,25.75,1987-11-06,NA,43,9.5,27.254166667
"311","chic",45.5,29.5,1987-11-07,NA,46,2.75,31.6875
"312","chic",49.5,41.75,1987-11-08,NA,66,23.291666667,25.416666667
"313","chic",35,18.5,1987-11-09,NA,18,25.666666667,24.619791667
"314","chic",34,24.875,1987-11-10,NA,12,27.75,25.354166667
"315","chic",35,23.75,1987-11-11,NA,31.285714286,7.9583333333,27.569444444
"316","chic",43.5,31.125,1987-11-12,NA,47,7,31.238677536
"317","chic",48.5,31.375,1987-11-13,NA,55,2.875,29.825181159
"318","chic",47,31.125,1987-11-14,NA,18,9.875,28.666666667
"319","chic",50.5,32,1987-11-15,NA,51,19.25,36.916666667
"320","chic",56,56,1987-11-16,NA,34,17.666666667,30.385416667
"321","chic",50,35.375,1987-11-17,NA,18.333333333,12.708333333,10.67798913
"322","chic",38,29.25,1987-11-18,NA,NA,10.347826087,15.73336039
"323","chic",37.5,26,1987-11-19,NA,29,10.833333333,20.044642857
"324","chic",27.5,10.375,1987-11-20,NA,34,25.041666667,13.951893939
"325","chic",25.5,11.5,1987-11-21,NA,27,11.291666667,23.741666667
"326","chic",42,28.75,1987-11-22,NA,NA,11.333333333,18.966666667
"327","chic",43.5,31.75,1987-11-23,NA,30.333333333,8.7727272727,12.654166667
"328","chic",39.5,39.375,1987-11-24,NA,52,8.8333333333,14.596491228
"329","chic",40,36.875,1987-11-25,NA,10,13.125,14.988561077
"330","chic",40,35.875,1987-11-26,NA,15,23.583333333,7.8666666667
"331","chic",40.5,39.5,1987-11-27,NA,NA,11,13.041666667
"332","chic",47,45.5,1987-11-28,NA,NA,4.4583333333,17.491666667
"333","chic",39,34.625,1987-11-29,NA,12.142857143,2.125,11.645833333
"334","chic",37,35.5,1987-11-30,NA,NA,4.1666666667,13.620833333
"335","chic",32,24.125,1987-12-01,NA,28,13.47826087,16.891666667
"336","chic",30,26.375,1987-12-02,NA,23,9.25,15.241666667
"337","chic",30.5,26.25,1987-12-03,NA,30,6.625,19.433333333
"338","chic",27,19.625,1987-12-04,NA,35,12.541666667,21.457575758
"339","chic",27,24.625,1987-12-05,NA,24.666666667,13.875,24.675
"340","chic",31.5,29,1987-12-06,NA,22,15.291666667,21.966666667
"341","chic",38.5,36.25,1987-12-07,NA,25,6.4166666667,21.766666667
"342","chic",46.5,49.5,1987-12-08,NA,28,2.9583333333,22.649637681
"343","chic",49.5,34.375,1987-12-09,NA,21,9.0416666667,12.475
"344","chic",38,31.125,1987-12-10,NA,32,7.25,17.917934783
"345","chic",41,33.625,1987-12-11,NA,23,2.5833333333,23.375
"346","chic",35,23.75,1987-12-12,NA,29,11.041666667,9.2041666667
"347","chic",31.5,23.5,1987-12-13,NA,34,13.166666667,13.295833333
"348","chic",30,27.5,1987-12-14,NA,43,13,24.991666667
"349","chic",31,24.25,1987-12-15,NA,19,9.0526315789,11.124122807
"350","chic",27.5,16.625,1987-12-16,NA,36,12.083333333,11.2625
"351","chic",20.5,11.75,1987-12-17,NA,27.2,8.0869565217,23.483333333
"352","chic",23,25.75,1987-12-18,NA,36,2.8704710145,22.741666667
"353","chic",34,35,1987-12-19,NA,21.5,2.3958333333,21.945833333
"354","chic",34,21.25,1987-12-20,NA,25,9.8125,15.675
"355","chic",33,26.125,1987-12-21,NA,NA,6.875,21.953804348
"356","chic",35,29.125,1987-12-22,NA,NA,2.7391304348,29.456521739
"357","chic",35.5,31.25,1987-12-23,NA,36,3.5,24.966666667
"358","chic",41,39.75,1987-12-24,NA,NA,2.3958333333,21.675
"359","chic",33,25.5,1987-12-25,NA,16,15.145833333,11.133333333
"360","chic",27.5,23.75,1987-12-26,NA,NA,18.625,17.391666667
"361","chic",29,28.375,1987-12-27,NA,45,10.041666667,26.691666667
"362","chic",33.5,30.75,1987-12-28,NA,NA,18.229166667,15.641666667
"363","chic",24.5,20.25,1987-12-29,NA,20.666666667,19.416666667,23.804924242
"364","chic",25.5,27.625,1987-12-30,NA,NA,4.3458333333,31.690656566
"365","chic",23.5,7.25,1987-12-31,NA,21,16.083333333,16.770833333
"366","chic",3.5,-3.625,1988-01-01,NA,NA,19.958333333,14.138888889
"367","chic",15,15.375,1988-01-02,NA,NA,7.8125,25.736111111
"368","chic",24.5,16.75,1988-01-03,NA,25,8.6458333333,21.722222222
"369","chic",5,-15.875,1988-01-04,NA,26,18.211309524,12.665714286
"370","chic",-6.5,-15.75,1988-01-05,NA,24,13.166666667,17.220833333
"371","chic",-5.5,-15.125,1988-01-06,NA,75,7.1458333333,27.665942029
"372","chic",3,-1.875,1988-01-07,NA,74,2.5208333333,52.1
"373","chic",8.5,2.75,1988-01-08,NA,87,4.6594202899,42.885041408
"374","chic",0.5,-12.25,1988-01-09,NA,48,7.3958333333,26.45
