,head,age
123,40.0,0.09
124,37.0,0.09
125,38.0,0.09
126,38.8,0.09
127,38.0,0.09
128,37.9,0.09
129,39.6,0.09
130,37.8,0.09
131,38.7,0.09
132,38.5,0.09
133,38.0,0.09
134,37.7,0.09
135,39.0,0.09
136,38.6,0.09
137,38.3,0.09
138,34.9,0.09
139,36.8,0.1
140,38.0,0.1
141,38.6,0.1
142,38.6,0.1
143,39.5,0.1
144,38.3,0.1
145,36.0,0.1
146,38.0,0.1
147,39.0,0.1
148,38.6,0.1
149,35.8,0.1
150,38.2,0.1
151,38.2,0.1
152,36.7,0.1
153,39.5,0.1
154,38.1,0.1
155,38.6,0.1
156,40.0,0.1
157,35.6,0.1
158,37.9,0.1
159,36.5,0.1
160,37.5,0.1
161,39.8,0.1
162,38.5,0.1
163,39.0,0.1
164,39.7,0.1
165,38.0,0.1
166,37.8,0.1
167,40.0,0.1
168,39.0,0.1
169,37.0,0.1
170,36.0,0.1
171,37.6,0.1
172,38.1,0.1
173,38.2,0.11
174,37.5,0.11
175,39.0,0.11
176,36.5,0.11
177,39.2,0.11
178,36.5,0.11
179,38.2,0.11
180,36.4,0.11
181,36.9,0.11
182,38.5,0.11
183,39.0,0.11
184,38.0,0.11
185,38.5,0.11
186,37.6,0.11
187,36.4,0.11
188,39.0,0.11
189,37.6,0.11
190,36.4,0.11
191,40.0,0.12
192,38.0,0.12
193,39.0,0.12
194,37.5,0.12
195,38.1,0.12
196,40.0,0.12
197,37.2,0.12
198,39.1,0.12
199,40.8,0.12
200,40.5,0.12
201,40.5,0.12
202,38.6,0.12
203,38.5,0.13
204,38.0,0.13
205,40.7,0.13
206,37.0,0.13
207,41.2,0.13
208,39.2,0.13
209,39.0,0.13
210,38.8,0.13
211,39.0,0.13
212,38.0,0.13
213,38.0,0.13
214,41.2,0.13
215,36.8,0.13
216,36.2,0.13
217,37.1,0.13
218,38.8,0.13
219,40.0,0.13
220,38.0,0.13
221,38.0,0.13
222,38.6,0.14
223,38.8,0.14
224,38.7,0.14
225,38.0,0.14
226,40.5,0.14
227,40.0,0.14
228,38.5,0.14
229,39.0,0.14
230,39.5,0.14
231,40.1,0.14
232,40.2,0.14
233,39.7,0.14
234,39.2,0.14
235,37.8,0.14
236,37.3,0.14
237,38.0,0.14
238,40.0,0.14
239,40.0,0.14
240,38.6,0.14
241,36.8,0.15
242,37.4,0.15
243,39.7,0.15
244,40.2,0.15
245,38.0,0.15
246,38.5,0.15
247,41.5,0.15
248,38.2,0.15
249,37.7,0.15
250,38.7,0.15
251,40.5,0.15
252,39.1,0.15
253,39.5,0.15
254,38.5,0.15
255,38.6,0.15
256,37.5,0.15
257,41.0,0.15
258,36.4,0.15
259,37.0,0.15
260,37.5,0.15
261,37.9,0.15
262,37.5,0.15
263,39.2,0.15
264,35.7,0.15
265,40.3,0.15
266,49.2,0.15
267,41.5,0.15
268,38.5,0.16
269,37.8,0.16
270,36.8,0.16
271,38.5,0.16
272,39.5,0.16
273,41.0,0.16
274,39.9,0.16
275,39.0,0.16
276,39.5,0.16
277,40.0,0.16
278,38.8,0.16
279,39.8,0.16
280,37.0,0.16
281,38.5,0.16
282,37.3,0.16
283,39.5,0.16
284,41.6,0.16
285,40.2,0.16
286,40.4,0.16
287,38.3,0.16
288,38.5,0.16
289,38.5,0.16
290,43.0,0.16
291,40.5,0.16
292,40.0,0.16
293,36.5,0.16
294,39.8,0.16
295,40.5,0.16
296,39.8,0.16
297,39.3,0.16
298,37.8,0.16
299,40.1,0.16
300,40.1,0.16
301,35.5,0.16
302,37.8,0.16
303,39.5,0.16
304,40.0,0.16
305,39.8,0.16
306,38.2,0.16
307,38.5,0.17
308,39.5,0.17
309,39.8,0.17
310,41.0,0.17
311,41.0,0.17
312,40.0,0.17
313,40.5,0.17
314,40.0,0.17
315,39.7,0.17
316,40.0,0.17
317,39.5,0.17
318,42.5,0.17
319,40.3,0.17
320,38.8,0.17
321,37.4,0.17
322,40.0,0.17
323,40.3,0.17
324,39.9,0.17
325,40.0,0.17
326,41.0,0.17
327,38.0,0.17
328,35.0,0.17
329,40.5,0.17
330,40.0,0.17
331,40.0,0.17
332,40.0,0.17
333,40.5,0.17
334,39.0,0.17
335,39.5,0.17
336,39.2,0.17
337,40.0,0.17
338,36.2,0.17
339,37.5,0.17
340,39.0,0.17
341,37.5,0.17
342,39.6,0.17
343,38.0,0.17
344,39.5,0.17
345,40.0,0.17
346,40.0,0.17
347,38.0,0.17
348,38.3,0.17
349,39.6,0.17
350,37.4,0.17
351,37.4,0.18
352,40.6,0.18
353,40.0,0.18
354,42.0,0.18
355,40.4,0.18
356,39.5,0.18
357,38.3,0.18
358,39.1,0.18
359,40.0,0.18
360,39.5,0.18
361,40.2,0.18
362,38.2,0.18
363,39.1,0.18
364,39.5,0.18
365,39.6,0.18
366,41.0,0.18
367,40.2,0.18
368,40.0,0.18
369,39.3,0.18
370,39.2,0.18
371,39.0,0.18
372,38.5,0.18
373,41.0,0.18
374,39.7,0.19
375,40.6,0.19
376,41.5,0.19
377,41.2,0.19
378,41.3,0.19
379,38.5,0.19
380,39.6,0.19
381,40.6,0.19
382,41.1,0.19
383,41.8,0.19
384,41.0,0.19
385,40.4,0.19
386,42.0,0.19
387,41.5,0.19
388,42.2,0.19
389,39.8,0.19
390,39.0,0.19
391,39.0,0.19
392,39.3,0.19
393,40.2,0.19
394,38.6,0.19
395,38.9,0.19
396,41.4,0.19
397,40.8,0.19
398,41.0,0.19
399,39.0,0.19
400,39.5,0.19
401,40.5,0.19
402,40.6,0.19
403,39.9,0.19
404,40.1,0.19
405,35.7,0.19
406,38.0,0.19
407,41.2,0.19
408,39.5,0.19
409,42.2,0.19
410,40.0,0.19
411,41.1,0.19
412,40.6,0.19
413,39.8,0.19
414,40.0,0.2
415,44.5,0.2
416,39.7,0.2
417,38.3,0.2
418,38.3,0.2
419,39.8,0.2
420,39.9,0.2
421,39.5,0.2
422,40.0,0.2
423,39.9,0.2
424,38.2,0.2
425,41.8,0.2
426,41.8,0.2
427,43.0,0.2
428,40.7,0.2
429,40.0,0.2
430,40.1,0.2
431,40.5,0.21
432,41.9,0.21
433,41.4,0.21
434,41.4,0.21
435,41.6,0.21
436,40.4,0.21
437,41.8,0.22
438,42.5,0.22
439,39.7,0.22
440,40.5,0.22
441,41.0,0.22
442,40.0,0.22
443,41.0,0.22
444,40.5,0.22
445,40.0,0.22
446,40.6,0.22
447,40.3,0.22
448,42.0,0.22
449,39.6,0.22
450,40.0,0.23
451,38.6,0.23
452,40.6,0.23
453,39.6,0.23
454,40.7,0.23
455,40.0,0.23
456,40.2,0.23
457,42.5,0.23
458,42.0,0.24
459,41.5,0.24
460,41.2,0.24
461,39.8,0.24
462,40.5,0.24
463,41.6,0.24
464,40.5,0.24
465,41.0,0.24
466,39.5,0.24
467,39.5,0.24
468,40.0,0.24
469,43.3,0.24
470,37.3,0.24
471,39.1,0.24
472,42.5,0.24
473,42.0,0.24
474,42.2,0.24
475,40.8,0.24
476,39.8,0.24
477,40.7,0.25
478,40.4,0.25
479,40.9,0.25
480,41.6,0.25
481,42.5,0.25
482,39.5,0.25
483,41.1,0.25
484,38.0,0.25
485,40.0,0.25
486,42.2,0.25
487,41.5,0.25
488,42.1,0.25
489,41.0,0.25
490,39.0,0.25
491,41.5,0.25
492,42.5,0.25
493,40.8,0.25
494,42.4,0.25
495,40.4,0.25
496,41.3,0.25
497,42.2,0.25
498,40.0,0.25
499,40.7,0.25
500,41.1,0.25
501,40.4,0.25
502,41.4,0.25
503,38.5,0.25
504,40.7,0.25
505,42.2,0.25
506,41.3,0.25
507,42.4,0.25
508,42.2,0.25
509,42.5,0.25
510,40.2,0.25
511,40.4,0.25
512,41.0,0.25
513,41.0,0.25
514,41.5,0.25
515,41.0,0.25
516,42.8,0.25
517,39.5,0.25
518,40.8,0.25
519,41.5,0.25
520,42.0,0.25
521,39.2,0.25
522,40.4,0.26
523,39.6,0.26
524,41.8,0.26
525,42.3,0.26
526,41.4,0.26
527,43.0,0.26
528,43.6,0.26
529,41.5,0.26
530,39.5,0.26
531,39.5,0.26
532,35.6,0.26
533,41.5,0.26
534,40.5,0.26
535,41.6,0.26
536,41.5,0.26
537,42.4,0.26
538,40.0,0.26
539,40.5,0.26
540,38.8,0.26
541,40.2,0.26
542,43.8,0.26
543,42.0,0.26
544,41.3,0.26
545,41.0,0.26
546,40.2,0.26
547,38.8,0.26
548,41.0,0.26
549,40.5,0.26
550,41.0,0.26
551,41.1,0.26
552,41.5,0.26
553,40.6,0.26
554,42.0,0.26
555,42.0,0.26
556,42.2,0.26
557,42.0,0.26
558,41.0,0.26
559,42.9,0.26
560,39.5,0.26
561,38.0,0.26
562,42.2,0.27
563,41.2,0.27
564,39.3,0.27
565,40.7,0.27
566,42.0,0.27
567,42.0,0.27
568,37.1,0.27
569,40.5,0.27
570,40.3,0.27
571,40.3,0.27
572,41.3,0.27
573,38.3,0.27
574,41.0,0.27
575,41.6,0.27
576,41.4,0.27
577,40.6,0.27
578,41.2,0.27
579,38.1,0.27
580,39.2,0.27
581,39.3,0.27
582,41.0,0.27
583,41.6,0.27
584,41.5,0.27
585,41.2,0.27
586,39.8,0.27
587,40.9,0.27
588,40.8,0.27
589,42.2,0.27
590,43.0,0.27
591,42.2,0.27
592,42.0,0.27
593,40.2,0.27
594,39.5,0.27
595,41.9,0.28
596,41.0,0.28
597,40.4,0.28
598,40.9,0.28
599,41.0,0.28
600,41.0,0.28
601,42.2,0.28
602,41.2,0.28
603,40.3,0.28
604,42.5,0.28
605,39.7,0.28
606,41.7,0.28
607,40.0,0.28
608,43.2,0.29
609,42.1,0.29
610,42.0,0.29
611,41.0,0.29
612,44.0,0.29
613,42.2,0.29
614,42.5,0.29
615,42.3,0.29
616,41.0,0.29
617,42.5,0.29
618,43.0,0.29
619,43.0,0.3
620,41.5,0.3
621,42.7,0.31
622,40.5,0.31
623,41.5,0.31
624,41.8,0.31
625,41.5,0.32
626,42.2,0.32
627,41.8,0.32
628,41.0,0.33
629,41.3,0.33
630,42.0,0.33
631,44.0,0.33
632,42.0,0.33
633,41.0,0.33
634,43.1,0.33
635,43.6,0.33
636,44.0,0.33
637,39.9,0.34
638,42.2,0.34
639,43.0,0.34
640,43.8,0.34
641,41.2,0.34
642,40.5,0.34
643,43.2,0.34
644,43.0,0.34
645,42.4,0.34
646,33.5,0.34
647,43.5,0.35
648,43.2,0.35
649,46.0,0.35
650,43.5,0.36
651,43.0,0.36
652,41.5,0.36
653,43.0,0.37
654,44.0,0.37
655,43.0,0.37
656,43.0,0.37
657,42.1,0.37
658,41.9,0.37
659,41.8,0.38
660,43.8,0.38
661,43.0,0.38
662,44.2,0.38
663,44.3,0.39
664,42.3,0.4
665,44.1,0.4
666,44.7,0.4
667,42.2,0.4
668,44.8,0.4
669,42.4,0.4
670,41.6,0.4
671,42.2,0.4
672,44.0,0.41
673,44.4,0.41
674,44.4,0.41
675,41.8,0.42
676,40.2,0.42
677,41.8,0.42
678,44.1,0.42
679,43.8,0.42
680,42.5,0.43
681,42.5,0.43
682,43.3,0.43
683,44.0,0.43
684,43.2,0.43
685,42.9,0.43
686,43.0,0.44
687,43.0,0.44
688,43.6,0.44
689,45.0,0.44
690,43.0,0.44
691,42.8,0.44
692,44.2,0.44
693,44.5,0.44
694,43.0,0.44
695,44.0,0.45
696,42.5,0.45
697,43.9,0.45
698,43.4,0.45
699,44.8,0.45
700,42.5,0.45
701,43.1,0.45
702,42.5,0.46
703,44.1,0.46
704,44.3,0.46
705,44.0,0.46
706,44.8,0.46
707,43.1,0.46
708,47.0,0.47
709,43.4,0.47
710,44.1,0.47
711,45.6,0.47
712,42.1,0.47
713,42.8,0.47
714,45.6,0.48
715,45.0,0.48
716,42.0,0.48
717,43.4,0.48
718,44.0,0.48
719,44.8,0.48
720,43.5,0.48
721,44.3,0.48
722,44.0,0.48
723,43.5,0.48
724,43.2,0.48
725,45.2,0.48
726,44.3,0.49
727,45.0,0.49
728,45.0,0.49
729,46.7,0.49
730,44.5,0.49
731,44.0,0.49
732,42.0,0.49
733,42.5,0.49
734,46.0,0.5
735,42.5,0.5
736,43.5,0.5
737,40.2,0.5
738,43.5,0.5
739,44.7,0.5
740,44.5,0.5
741,44.5,0.5
742,41.0,0.5
743,46.5,0.5
744,45.7,0.5
745,43.8,0.5
746,45.0,0.5
747,44.6,0.5
748,44.3,0.5
749,43.0,0.5
750,44.0,0.5
751,43.4,0.5
752,46.5,0.51
753,42.9,0.51
754,45.2,0.51
755,43.6,0.51
756,43.8,0.51
757,45.3,0.51
758,44.0,0.51
759,42.5,0.51
760,44.5,0.51
761,45.0,0.51
762,44.5,0.51
763,43.5,0.51
764,43.0,0.51
765,44.0,0.51
766,45.1,0.51
767,45.0,0.51
768,43.2,0.51
769,44.6,0.52
770,44.3,0.52
771,44.5,0.52
772,45.5,0.52
773,42.4,0.52
774,44.2,0.52
775,40.3,0.52
776,45.6,0.52
777,42.6,0.52
778,45.0,0.52
779,45.0,0.52
780,41.6,0.52
781,45.0,0.52
782,43.0,0.52
783,45.5,0.52
784,44.3,0.52
785,44.7,0.53
786,43.5,0.53
787,46.1,0.53
788,46.0,0.53
789,43.5,0.53
790,44.2,0.53
791,45.0,0.53
792,44.1,0.53
793,42.9,0.53
794,45.5,0.53
795,45.0,0.53
796,46.2,0.53
797,44.3,0.53
798,44.0,0.53
799,46.2,0.53
800,43.4,0.53
801,43.4,0.54
802,45.6,0.54
803,43.8,0.54
804,44.3,0.54
805,46.5,0.54
806,44.6,0.54
807,45.5,0.54
808,45.4,0.54
809,45.6,0.54
810,45.2,0.54
811,45.0,0.55
812,44.7,0.55
813,43.1,0.55
814,43.4,0.55
815,44.5,0.56
816,48.5,0.56
817,45.2,0.56
818,45.0,0.56
819,44.4,0.56
820,45.5,0.56
821,46.0,0.56
822,44.6,0.57
823,43.5,0.57
824,44.2,0.57
825,45.2,0.57
826,44.5,0.57
827,46.0,0.57
828,44.3,0.57
829,46.0,0.58
830,42.2,0.58
831,43.8,0.58
832,45.7,0.58
833,45.5,0.59
834,44.0,0.59
835,46.0,0.59
836,45.2,0.59
837,43.0,0.6
838,44.5,0.6
839,44.0,0.6
840,46.5,0.6
841,43.8,0.61
842,45.3,0.61
843,45.5,0.61
844,45.2,0.62
845,46.6,0.62
846,45.2,0.62
847,45.8,0.62
848,44.1,0.62
849,45.8,0.62
850,44.6,0.62
851,46.5,0.63
852,44.0,0.63
853,42.9,0.63
854,44.4,0.64
855,45.4,0.64
856,44.6,0.64
857,42.1,0.64
858,44.2,0.64
859,46.3,0.65
860,43.5,0.65
861,45.0,0.65
862,45.0,0.65
863,46.1,0.65
864,45.0,0.66
865,47.3,0.66
866,44.7,0.66
867,45.7,0.66
868,44.8,0.67
869,44.1,0.67
870,46.5,0.67
871,46.0,0.68
872,46.8,0.68
873,47.5,0.68
874,47.0,0.68
875,47.5,0.69
876,45.4,0.69
877,46.2,0.69
878,44.5,0.69
879,45.8,0.69
880,48.5,0.7
881,45.3,0.7
882,45.5,0.7
883,43.0,0.7
884,44.1,0.7
885,45.8,0.7
886,44.1,0.71
887,46.3,0.71
888,46.0,0.71
889,45.2,0.71
890,44.0,0.71
891,44.8,0.71
892,45.0,0.71
893,42.8,0.72
894,45.2,0.72
895,46.4,0.72
896,44.8,0.72
897,44.8,0.72
898,44.5,0.72
899,44.5,0.73
900,47.0,0.73
901,44.9,0.73
902,50.0,0.73
903,44.0,0.73
904,44.8,0.73
905,46.4,0.73
906,44.6,0.73
907,45.2,0.73
908,47.8,0.73
909,45.9,0.74
910,46.1,0.74
911,48.5,0.74
912,45.2,0.74
913,46.0,0.74
914,48.4,0.74
915,47.6,0.74
916,45.3,0.74
917,44.0,0.74
918,47.0,0.74
919,43.5,0.74
920,45.2,0.74
921,44.1,0.74
922,45.8,0.74
923,45.1,0.74
924,47.2,0.74
925,44.0,0.74
926,48.7,0.74
927,46.3,0.74
928,45.3,0.74
929,45.9,0.75
930,49.2,0.75
931,45.6,0.75
932,44.2,0.75
933,46.0,0.75
934,46.8,0.75
935,46.8,0.75
936,45.1,0.75
937,44.5,0.75
938,46.5,0.75
939,46.6,0.75
940,47.3,0.75
941,44.1,0.75
942,46.2,0.75
943,44.1,0.75
944,45.5,0.75
945,44.5,0.75
946,46.5,0.75
947,47.7,0.75
948,46.5,0.75
949,45.8,0.75
950,44.8,0.76
951,46.0,0.76
952,45.0,0.76
953,46.5,0.76
954,46.5,0.76
955,47.2,0.76
956,44.2,0.76
957,47.0,0.76
958,47.2,0.76
959,47.4,0.76
960,47.0,0.76
961,46.0,0.76
962,47.2,0.76
963,46.3,0.76
964,46.0,0.76
965,47.2,0.76
966,46.7,0.76
967,46.8,0.76
968,45.2,0.76
969,46.2,0.77
970,47.5,0.77
971,46.5,0.77
972,48.0,0.77
973,46.3,0.77
974,46.1,0.77
975,46.4,0.77
976,45.7,0.77
977,46.6,0.77
978,46.5,0.77
979,45.0,0.77
980,47.5,0.77
981,45.5,0.77
982,46.5,0.77
983,46.2,0.77
984,46.0,0.77
985,45.6,0.77
986,47.0,0.77
987,46.9,0.78
988,45.5,0.78
989,46.7,0.78
990,45.6,0.78
991,46.3,0.78
992,47.2,0.78
993,45.5,0.78
994,48.2,0.78
995,46.5,0.78
996,47.0,0.78
997,47.3,0.78
998,44.9,0.78
999,47.5,0.78
1000,45.0,0.79
1001,47.0,0.79
1002,45.5,0.79
1003,47.5,0.79
1004,48.9,0.79
1005,48.1,0.79
1006,45.1,0.79
1007,46.2,0.79
1008,45.2,0.8
1009,47.3,0.8
1010,47.5,0.8
1011,45.2,0.8
1012,47.3,0.8
1013,44.5,0.8
1014,46.2,0.8
1015,44.2,0.8
1016,45.1,0.8
1017,45.9,0.8
1018,45.0,0.8
1019,46.4,0.81
1020,46.3,0.81
1021,45.8,0.81
1022,46.5,0.81
1023,46.0,0.81
1024,46.0,0.81
1025,45.5,0.81
1026,48.4,0.81
1027,45.2,0.81
1028,43.2,0.82
1029,47.6,0.82
1030,46.8,0.82
1031,44.7,0.83
1032,45.9,0.83
1033,44.8,0.83
1034,48.0,0.83
1035,44.0,0.83
1036,46.4,0.83
1037,49.0,0.83
1038,46.0,0.83
1039,47.6,0.83
1040,48.4,0.83
1041,46.0,0.83
1042,45.3,0.84
1043,46.2,0.84
1044,47.5,0.84
1045,46.8,0.84
1046,47.0,0.84
1047,42.2,0.84
1048,46.0,0.86
1049,45.0,0.86
1050,48.0,0.86
1051,49.8,0.86
1052,47.7,0.86
1053,45.4,0.86
1054,47.4,0.86
1055,46.3,0.87
1056,45.8,0.87
1057,46.0,0.87
1058,42.3,0.87
1059,46.0,0.88
1060,46.8,0.88
1061,47.5,0.88
1062,45.5,0.88
1063,45.8,0.89
1064,45.8,0.89
1065,46.0,0.89
1066,46.8,0.9
1067,45.7,0.9
1068,47.2,0.9
1069,46.5,0.9
1070,47.6,0.91
1071,48.0,0.91
1072,45.4,0.91
1073,44.0,0.91
1074,44.5,0.92
1075,45.7,0.92
1076,46.8,0.92
1077,47.7,0.92
1078,43.2,0.92
1079,46.4,0.92
1080,48.5,0.93
1081,46.9,0.93
1082,46.2,0.93
1083,43.0,0.93
1084,45.8,0.93
1085,44.6,0.93
1086,46.9,0.93
1087,49.0,0.93
1088,48.7,0.93
1089,45.9,0.93
1090,46.5,0.93
1091,46.0,0.94
1092,47.0,0.94
1093,46.3,0.94
1094,47.5,0.94
1095,47.0,0.94
1096,45.6,0.94
1097,44.5,0.94
1098,46.5,0.94
1099,45.8,0.95
1100,48.0,0.95
1101,45.0,0.95
1102,47.0,0.95
1103,48.0,0.95
1104,48.2,0.95
1105,48.0,0.95
1106,47.0,0.95
1107,48.2,0.95
1108,48.4,0.95
1109,48.0,0.95
1110,45.9,0.95
1111,47.4,0.95
1112,46.2,0.95
1113,47.0,0.95
1114,45.3,0.95
1115,45.3,0.95
1116,44.9,0.95
1117,47.5,0.95
1118,47.0,0.96
1119,48.0,0.96
1120,46.4,0.96
1121,45.7,0.96
1122,49.1,0.96
1123,44.5,0.96
1124,46.5,0.96
1125,46.0,0.96
1126,48.5,0.97
1127,48.0,0.97
1128,46.4,0.97
1129,47.0,0.97
1130,49.0,0.97
1131,46.5,0.97
1132,47.3,0.97
1133,49.8,0.97
1134,46.8,0.97
1135,48.0,0.97
1136,47.2,0.97
1137,48.0,0.97
1138,46.5,0.98
1139,47.0,0.98
1140,48.5,0.98
1141,47.0,0.98
1142,48.1,0.98
1143,46.0,0.98
1144,46.2,0.98
1145,49.6,0.98
1146,46.0,0.98
1147,46.8,0.98
1148,48.8,0.98
1149,46.8,0.99
1150,48.5,0.99
1151,47.2,0.99
1152,47.3,0.99
1153,47.6,0.99
1154,46.0,0.99
1155,48.0,0.99
1156,47.5,0.99
1157,49.0,0.99
1158,48.5,0.99
1159,47.1,1.0
1160,49.5,1.0
1161,46.0,1.0
1162,48.5,1.0
1163,47.9,1.0
1164,48.6,1.0
1165,48.7,1.0
1166,47.6,1.0
1167,46.5,1.0
1168,45.0,1.0
1169,47.0,1.0
1170,46.0,1.0
1171,48.0,1.0
1172,47.0,1.0
1173,46.2,1.0
1174,46.7,1.0
1175,47.9,1.01
1176,47.5,1.01
1177,46.8,1.01
1178,48.2,1.01
1179,45.9,1.01
1180,47.7,1.01
1181,46.8,1.01
1182,46.3,1.01
1183,48.7,1.01
1184,48.6,1.01
1185,47.3,1.01
1186,48.8,1.01
1187,46.7,1.01
1188,46.0,1.01
1189,46.0,1.02
1190,51.6,1.02
1191,46.5,1.02
1192,48.0,1.02
1193,46.0,1.02
1194,48.5,1.02
1195,47.8,1.02
1196,46.3,1.02
1197,48.2,1.02
1198,48.0,1.02
1199,49.0,1.02
1200,46.5,1.02
1201,49.2,1.02
1202,47.5,1.02
1203,47.8,1.03
1204,45.2,1.03
1205,48.2,1.03
1206,47.3,1.03
1207,47.4,1.03
1208,44.2,1.03
1209,46.1,1.03
1210,48.0,1.03
1211,46.0,1.03
1212,45.5,1.03
1213,48.0,1.03
1214,47.5,1.04
1215,47.8,1.04
1216,48.0,1.04
1217,48.9,1.04
1218,49.9,1.04
1219,46.3,1.04
1220,48.9,1.04
1221,45.8,1.04
1222,46.0,1.04
1223,47.5,1.04
1224,48.0,1.04
1225,49.2,1.05
1226,49.0,1.05
1227,47.0,1.05
1228,48.4,1.05
1229,48.0,1.05
1230,47.0,1.05
1231,48.5,1.05
1232,47.4,1.05
1233,48.2,1.05
1234,47.4,1.05
1235,48.7,1.06
1236,46.5,1.06
1237,49.4,1.06
1238,47.2,1.06
1239,48.5,1.06
1240,46.6,1.06
1241,45.6,1.06
1242,48.3,1.06
1243,49.5,1.06
1244,44.6,1.06
1245,47.9,1.07
1246,48.5,1.07
1247,49.2,1.07
1248,47.2,1.07
1249,48.6,1.07
1250,46.5,1.08
1251,48.9,1.08
1252,47.4,1.09
1253,45.1,1.09
1254,47.5,1.09
1255,46.7,1.09
1256,49.1,1.09
1257,48.6,1.1
1258,47.1,1.11
1259,47.0,1.11
1260,47.8,1.11
1261,47.8,1.11
1262,45.1,1.11
1263,46.2,1.12
1264,45.9,1.12
1265,47.5,1.13
1266,47.3,1.13
1267,48.2,1.14
1268,46.5,1.14
1269,48.0,1.14
1270,46.0,1.14
1271,46.3,1.14
1272,47.6,1.14
1273,52.4,1.15
1274,47.8,1.15
1275,48.8,1.15
1276,48.7,1.16
1277,48.0,1.16
1278,48.4,1.16
1279,48.5,1.16
1280,45.8,1.16
1281,49.0,1.17
1282,48.5,1.17
1283,49.8,1.17
1284,46.3,1.17
1285,46.0,1.17
1286,47.1,1.17
1287,46.6,1.17
1288,45.9,1.17
1289,48.0,1.17
1290,50.2,1.17
1291,46.4,1.17
1292,48.2,1.17
1293,48.6,1.18
1294,50.6,1.18
1295,48.8,1.18
1296,46.4,1.18
1297,48.5,1.18
1298,48.3,1.18
1299,47.6,1.18
1300,46.5,1.18
1301,47.3,1.18
1302,46.8,1.18
1303,47.4,1.19
1304,46.0,1.19
1305,49.0,1.19
1306,45.5,1.19
1307,47.5,1.19
1308,46.2,1.19
1309,49.9,1.19
1310,48.3,1.19
1311,49.0,1.19
1312,46.4,1.19
1313,47.0,1.19
1314,46.2,1.19
1315,47.6,1.19
1316,45.1,1.19
1317,49.0,1.19
1318,48.3,1.19
1319,48.5,1.19
1320,47.0,1.19
1321,48.9,1.2
1322,49.0,1.2
1323,47.6,1.2
1324,49.7,1.2
1325,47.0,1.2
1326,46.2,1.2
1327,48.2,1.2
1328,47.2,1.2
1329,48.4,1.2
1330,49.0,1.2
1331,50.0,1.2
1332,49.0,1.2
1333,46.6,1.2
1334,49.0,1.21
1335,47.0,1.21
1336,45.5,1.21
1337,48.2,1.21
1338,43.3,1.21
1339,48.8,1.21
1340,48.5,1.21
1341,49.2,1.21
1342,47.6,1.21
1343,48.5,1.21
1344,48.2,1.21
1345,48.0,1.21
1346,47.0,1.21
1347,49.8,1.21
1348,49.3,1.21
1349,48.1,1.21
1350,48.1,1.21
1351,47.3,1.21
1352,47.8,1.21
1353,48.3,1.22
1354,47.8,1.22
1355,49.5,1.22
1356,45.1,1.22
1357,47.0,1.22
1358,48.5,1.22
1359,47.8,1.22
1360,51.0,1.22
1361,49.9,1.22
